idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T23,4,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,38,17,0,2859.0,191.0,39.0,15.0
T23,5,Vedat Muriqi,Delantero centro,Kosovo,RCD Mallorca,C22,35,3,4,2937.0,196.0,43.0,15.0
T23,6,Borja Iglesias,Delantero centro,España,Real Betis,C25,35,3,5,2365.0,158.0,43.0,15.0
T23,7,Enes Ünal,Delantero centro,Turquía,Getafe CF,C12,35,3,5,2971.0,212.0,40.0,14.0
T23,8,Álvaro Morata,Delantero centro,España,Atlético Madrid,C3,36,2,0,1900.0,146.0,36.0,13.0
T23,9,Taty Castellanos,Delantero centro,Argentina,Girona FC,C14,35,1,1,2597.0,200.0,37.0,13.0
T23,10,Iago Aspas,Delantero centro,España,RC Celta,C19,37,4,2,2868.0,239.0,32.0,12.0
T24,1,Artem Dovbyk,Delantero centro,Ucrania,Girona FC,C14,36,8,7,2587.0,108.0,67.0,24.0
T24,2,Alexander Sørloth,Delantero centro,Noruega,Villarreal CF,C40,34,6,0,2489.0,108.0,68.0,23.0
T24,3,Robert Lewandowski,Delantero centro,Polonia,FC Barcelona,C11,35,8,4,2750.0,145.0,54.0,19.0
T24,4,Jude Bellingham,Mediocentro ofensivo,Inglaterra,Real Madrid,C26,28,6,1,2316.0,122.0,68.0,19.0
T24,5,Ante Budimir,Delantero centro,Croacia,CA Osasuna,C4,33,2,3,2434.0,143.0,52.0,17.0
T24,6,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,33,6,4,2643.0,165.0,48.0,16.0
T24,7,Youssef En-Nesyri,Delantero centro,Marruecos,Sevilla FC,C36,33,2,1,2570.0,161.0,48.0,16.0
T24,8,Vinicius Junior,Extremo izquierdo,Brasil,Real Madrid,C26,26,6,1,1864.0,124.0,58.0,15.0
T24,9,Álvaro Morata,Delantero centro,España,Atlético Madrid,C3,32,4,0,1905.0,127.0,47.0,15.0
T24,10,Borja Mayoral,Delantero centro,España,Getafe CF,C12,27,1,4,2152.0,143.0,56.0,15.0
