idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T5,5,Júlio Baptista,Mediocentro ofensivo,Brasil,Sevilla FC,C36,33,0,2,2847.0,158.0,55.0,18.0
T5,6,Juan Román Riquelme,Mediocentro ofensivo,Argentina,Villarreal CF,C40,35,8,7,3109.0,194.0,46.0,16.0
T5,7,Fernando Torres,Delantero centro,España,Atlético Madrid,C3,38,0,4,3346.0,209.0,42.0,16.0
T5,8,David Villa,Delantero centro,España,Real Zaragoza,C32,35,1,3,2805.0,187.0,43.0,15.0
T5,9,Maxi Rodríguez,Extremo izquierdo,Argentina,RCD Espanyol,C21,37,0,1,2899.0,193.0,41.0,15.0
T5,10,Michael Owen,Delantero centro,Inglaterra,Real Madrid,C26,36,3,0,1880.0,145.0,36.0,13.0
T6,1,Samuel Eto'o,Delantero centro,Camerún,FC Barcelona,C11,34,7,1,3017.0,116.0,76.0,26.0
T6,2,David Villa,Delantero centro,España,Valencia CF,C39,37,3,6,2998.0,120.0,68.0,25.0
T6,3,Ronaldinho,Extremo izquierdo,Brasil,FC Barcelona,C11,29,18,7,2523.0,148.0,59.0,17.0
T6,4,Ronaldo,Delantero centro,Brasil,Real Madrid,C26,23,2,2,1737.0,124.0,61.0,14.0
T6,5,Diego Milito,Delantero centro,Argentina,Real Zaragoza,C32,36,0,0,2877.0,206.0,39.0,14.0
T6,6,Fernando Torres,Delantero centro,España,Atlético Madrid,C3,36,0,3,3187.0,245.0,36.0,13.0
T6,7,Fernando Baiano,Delantero centro,Brasil,RC Celta,C19,33,0,3,2637.0,203.0,39.0,13.0
T6,8,Juan Román Riquelme,Mediocentro ofensivo,Argentina,Villarreal CF,C40,25,5,4,2154.0,180.0,48.0,12.0
T6,9,Diego Tristán,Delantero centro,España,RC Deportivo,C20,36,2,3,2297.0,191.0,33.0,12.0
T6,10,Ewerthon,Delantero centro,Brasil,Real Zaragoza,C32,37,0,1,2700.0,225.0,32.0,12.0
T7,1,Ruud van Nistelrooy,Delantero centro,Países Bajos,Real Madrid,C26,37,2,4,3171.0,127.0,68.0,25.0
T7,2,Diego Milito,Delantero centro,Argentina,Real Zaragoza,C32,37,0,4,3137.0,143.0,59.0,22.0
